,text
7425,"MAGA COMMANDER@MAGA_2K24·7hFan accountYes or No?7181.1KRushd Averröes@Rushdaverroes·5hWant more babies? Build a future where raising kids isn’t economic suicide. Affordable housing, AI powered productivity, onchain income, and real parental support. Then watch birthrates rise.31998920KArielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7426,"Rushd Averröes@Rushdaverroes·5hWant more babies? Build a future where raising kids isn’t economic suicide. Affordable housing, AI powered productivity, onchain income, and real parental support. Then watch birthrates rise.31998920KArielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7427,"Arielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7428,"floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7429,"Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7430,"YumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7431,"fisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7432,"小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7433,"The Viking Nomad@TheVikingNomad_·6ho/ There was a German Economic Miracle in the 1930s when new leadership expelled the money changers, issued a debt free currency and offered forgivable loans to new married couples for having kids. Once they had 4 children their house was paid off. This country went from 6Show more310471.2KMAGA COMMANDER@MAGA_2K24·7hFan accountYes or No?7181.1KRushd Averröes@Rushdaverroes·5hWant more babies? Build a future where raising kids isn’t economic suicide. Affordable housing, AI powered productivity, onchain income, and real parental support. Then watch birthrates rise.31998920KArielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7434,IMPERATOR@IMPERATORAUS·7hThe collapse of the family always precedes the collapse of civilisation.121063.2K
7435,Prof. Karl Kautabak Gesundheitsminister Satire@KarlKautabak·6hGermoney has large muslim families. So no need to worry.42965
7436,Best Musk & Bezos Quotes @BestMuskBezos·7hGet busy breeding or get busy dying 4181K
7437,"Robert Sepehr@robertsepehr·3hHey @elonmusk, Africa's population went from 144 million in 1945 to over 1.5 billion today, with many now flooding Europe. Please address the influx of culturally hostile migrants with a predisposition to crime, HIV and rape, most of whom seek free housing and social welfare.20634645.3K"
7438,Pascaline van@Pascalinelinfi·6hElle va continuer à mourir parce que les élites veulent nous mettre encore plus chaque année en esclavage et les gens ne veulent pas de ça @elonmusk221417
7439,David Zsutty@DavidZsutty·6hQuality beats quantity. Higher birthrates are better but not as important as keeping Europe European.52102K
7440,"Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7441,"YumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7442,"fisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7443,"小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7444,"The Viking Nomad@TheVikingNomad_·6ho/ There was a German Economic Miracle in the 1930s when new leadership expelled the money changers, issued a debt free currency and offered forgivable loans to new married couples for having kids. Once they had 4 children their house was paid off. This country went from 6Show more310471.2KMAGA COMMANDER@MAGA_2K24·7hFan accountYes or No?7181.1KRushd Averröes@Rushdaverroes·5hWant more babies? Build a future where raising kids isn’t economic suicide. Affordable housing, AI powered productivity, onchain income, and real parental support. Then watch birthrates rise.31998920KArielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7445,IMPERATOR@IMPERATORAUS·7hThe collapse of the family always precedes the collapse of civilisation.121063.2K
7446,Prof. Karl Kautabak Gesundheitsminister Satire@KarlKautabak·6hGermoney has large muslim families. So no need to worry.42965
7447,Best Musk & Bezos Quotes @BestMuskBezos·7hGet busy breeding or get busy dying 4181K
7448,"Robert Sepehr@robertsepehr·3hHey @elonmusk, Africa's population went from 144 million in 1945 to over 1.5 billion today, with many now flooding Europe. Please address the influx of culturally hostile migrants with a predisposition to crime, HIV and rape, most of whom seek free housing and social welfare.20634645.3K"
7449,Pascaline van@Pascalinelinfi·6hElle va continuer à mourir parce que les élites veulent nous mettre encore plus chaque année en esclavage et les gens ne veulent pas de ça @elonmusk221417
7450,David Zsutty@DavidZsutty·6hQuality beats quantity. Higher birthrates are better but not as important as keeping Europe European.52102K
7451,"The Viking Nomad@TheVikingNomad_·6ho/ There was a German Economic Miracle in the 1930s when new leadership expelled the money changers, issued a debt free currency and offered forgivable loans to new married couples for having kids. Once they had 4 children their house was paid off. This country went from 6Show more310471.2KMAGA COMMANDER@MAGA_2K24·7hFan accountYes or No?7181.1KRushd Averröes@Rushdaverroes·5hWant more babies? Build a future where raising kids isn’t economic suicide. Affordable housing, AI powered productivity, onchain income, and real parental support. Then watch birthrates rise.31998920KArielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7452,"The Viking Nomad@TheVikingNomad_·6ho/ There was a German Economic Miracle in the 1930s when new leadership expelled the money changers, issued a debt free currency and offered forgivable loans to new married couples for having kids. Once they had 4 children their house was paid off. This country went from 6Show more310471.2KMAGA COMMANDER@MAGA_2K24·7hFan accountYes or No?7181.1KRushd Averröes@Rushdaverroes·5hWant more babies? Build a future where raising kids isn’t economic suicide. Affordable housing, AI powered productivity, onchain income, and real parental support. Then watch birthrates rise.31998920KArielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7453,"MAGA COMMANDER@MAGA_2K24·7hFan accountYes or No?7181.1KRushd Averröes@Rushdaverroes·5hWant more babies? Build a future where raising kids isn’t economic suicide. Affordable housing, AI powered productivity, onchain income, and real parental support. Then watch birthrates rise.31998920KArielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7454,"Rushd Averröes@Rushdaverroes·5hWant more babies? Build a future where raising kids isn’t economic suicide. Affordable housing, AI powered productivity, onchain income, and real parental support. Then watch birthrates rise.31998920KArielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7455,"Arielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7456,"The Viking Nomad@TheVikingNomad_·6ho/ There was a German Economic Miracle in the 1930s when new leadership expelled the money changers, issued a debt free currency and offered forgivable loans to new married couples for having kids. Once they had 4 children their house was paid off. This country went from 6Show more310471.2KMAGA COMMANDER@MAGA_2K24·7hFan accountYes or No?7181.1KRushd Averröes@Rushdaverroes·5hWant more babies? Build a future where raising kids isn’t economic suicide. Affordable housing, AI powered productivity, onchain income, and real parental support. Then watch birthrates rise.31998920KArielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7457,"MAGA COMMANDER@MAGA_2K24·7hFan accountYes or No?7181.1KRushd Averröes@Rushdaverroes·5hWant more babies? Build a future where raising kids isn’t economic suicide. Affordable housing, AI powered productivity, onchain income, and real parental support. Then watch birthrates rise.31998920KArielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7458,"Rushd Averröes@Rushdaverroes·5hWant more babies? Build a future where raising kids isn’t economic suicide. Affordable housing, AI powered productivity, onchain income, and real parental support. Then watch birthrates rise.31998920KArielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7459,"Arielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7460,"floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7461,"Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7462,"YumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7463,"fisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7464,"小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7465,"The Viking Nomad@TheVikingNomad_·6ho/ There was a German Economic Miracle in the 1930s when new leadership expelled the money changers, issued a debt free currency and offered forgivable loans to new married couples for having kids. Once they had 4 children their house was paid off. This country went from 6Show more310471.2KMAGA COMMANDER@MAGA_2K24·7hFan accountYes or No?7181.1KRushd Averröes@Rushdaverroes·5hWant more babies? Build a future where raising kids isn’t economic suicide. Affordable housing, AI powered productivity, onchain income, and real parental support. Then watch birthrates rise.31998920KArielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7466,IMPERATOR@IMPERATORAUS·7hThe collapse of the family always precedes the collapse of civilisation.121063.2K
7467,Prof. Karl Kautabak Gesundheitsminister Satire@KarlKautabak·6hGermoney has large muslim families. So no need to worry.42965
7468,Best Musk & Bezos Quotes @BestMuskBezos·7hGet busy breeding or get busy dying 4181K
7469,"Robert Sepehr@robertsepehr·3hHey @elonmusk, Africa's population went from 144 million in 1945 to over 1.5 billion today, with many now flooding Europe. Please address the influx of culturally hostile migrants with a predisposition to crime, HIV and rape, most of whom seek free housing and social welfare.20634645.3K"
7470,Pascaline van@Pascalinelinfi·6hElle va continuer à mourir parce que les élites veulent nous mettre encore plus chaque année en esclavage et les gens ne veulent pas de ça @elonmusk221417
7471,David Zsutty@DavidZsutty·6hQuality beats quantity. Higher birthrates are better but not as important as keeping Europe European.52102K
7472,"Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7473,"YumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7474,"fisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7475,"小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7476,"The Viking Nomad@TheVikingNomad_·6ho/ There was a German Economic Miracle in the 1930s when new leadership expelled the money changers, issued a debt free currency and offered forgivable loans to new married couples for having kids. Once they had 4 children their house was paid off. This country went from 6Show more310471.2KMAGA COMMANDER@MAGA_2K24·7hFan accountYes or No?7181.1KRushd Averröes@Rushdaverroes·5hWant more babies? Build a future where raising kids isn’t economic suicide. Affordable housing, AI powered productivity, onchain income, and real parental support. Then watch birthrates rise.31998920KArielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7477,IMPERATOR@IMPERATORAUS·7hThe collapse of the family always precedes the collapse of civilisation.121063.2K
7478,Prof. Karl Kautabak Gesundheitsminister Satire@KarlKautabak·6hGermoney has large muslim families. So no need to worry.42965
7479,Best Musk & Bezos Quotes @BestMuskBezos·7hGet busy breeding or get busy dying 4181K
7480,"Robert Sepehr@robertsepehr·3hHey @elonmusk, Africa's population went from 144 million in 1945 to over 1.5 billion today, with many now flooding Europe. Please address the influx of culturally hostile migrants with a predisposition to crime, HIV and rape, most of whom seek free housing and social welfare.20634645.3K"
7481,Pascaline van@Pascalinelinfi·6hElle va continuer à mourir parce que les élites veulent nous mettre encore plus chaque année en esclavage et les gens ne veulent pas de ça @elonmusk221417
7482,David Zsutty@DavidZsutty·6hQuality beats quantity. Higher birthrates are better but not as important as keeping Europe European.52102K
7483,"The Viking Nomad@TheVikingNomad_·6ho/ There was a German Economic Miracle in the 1930s when new leadership expelled the money changers, issued a debt free currency and offered forgivable loans to new married couples for having kids. Once they had 4 children their house was paid off. This country went from 6Show more310471.2KMAGA COMMANDER@MAGA_2K24·7hFan accountYes or No?7181.1KRushd Averröes@Rushdaverroes·5hWant more babies? Build a future where raising kids isn’t economic suicide. Affordable housing, AI powered productivity, onchain income, and real parental support. Then watch birthrates rise.31998920KArielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7484,"The Viking Nomad@TheVikingNomad_·6ho/ There was a German Economic Miracle in the 1930s when new leadership expelled the money changers, issued a debt free currency and offered forgivable loans to new married couples for having kids. Once they had 4 children their house was paid off. This country went from 6Show more310471.2KMAGA COMMANDER@MAGA_2K24·7hFan accountYes or No?7181.1KRushd Averröes@Rushdaverroes·5hWant more babies? Build a future where raising kids isn’t economic suicide. Affordable housing, AI powered productivity, onchain income, and real parental support. Then watch birthrates rise.31998920KArielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7485,"MAGA COMMANDER@MAGA_2K24·7hFan accountYes or No?7181.1KRushd Averröes@Rushdaverroes·5hWant more babies? Build a future where raising kids isn’t economic suicide. Affordable housing, AI powered productivity, onchain income, and real parental support. Then watch birthrates rise.31998920KArielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
7486,"Rushd Averröes@Rushdaverroes·5hWant more babies? Build a future where raising kids isn’t economic suicide. Affordable housing, AI powered productivity, onchain income, and real parental support. Then watch birthrates rise.31998920KArielle de La Loyere@adelaloyere·7hWell it looks like the French are leading 
Happy 14th of July! 4286floridanow1@floridanow1·1hHungary's Orban is one of the few who has spoken about it for years and has actually done something.

The other EU leaders must not care.18371Numero Uno@suaeccellenzan1·6hEverything is too expensive. How can someone have large families when the average salary is too low and everything is crazy expensive? Without proper social policies, nothing will change.6122629.7KYumΣ@Degen_Yume·7hNeed more horny people
69420811142.8Kfisher@0x69fisher·6hMusk as a demographer is like Tesla as a tractor: loud, expensive, and doesn’t work.1818399小智@XiaoZhi_BTC·6hEncouraging larger families could indeed help sustain Europe's future, but let's also focus on making it economically viable for everyone.2357916K"
